




Analysis Type:	PANTHER Overrepresentation Test (Released 20171205)
Annotation Version and Release Date:	GO Ontology database  Released 2017-11-28
Analyzed List:	upload_1 (Homo sapiens)
Reference List:	Homo sapiens (all genes in database)
Test Type:	FISHER
GO biological process complete	Homo sapiens - REFLIST (21042)	upload_1 (591)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
positive regulation of cellular protein localization (GO:1903829)	406	28	11.40	+	2.46	3.21E-05	9.07E-04
methylation (GO:0032259)	301	23	8.45	+	2.72	3.23E-05	9.11E-04
positive regulation of cellular biosynthetic process (GO:0031328)	1818	82	51.06	+	1.61	3.29E-05	9.26E-04
regulation of biological process (GO:0050789)	11328	369	318.17	+	1.16	3.33E-05	9.33E-04
regulation of mitotic sister chromatid separation (GO:0010965)	51	9	1.43	+	6.28	3.41E-05	9.54E-04
CUT catabolic process (GO:0071034)	4	4	.11	+	35.60	3.54E-05	9.84E-04
nuclear polyadenylation-dependent mRNA catabolic process (GO:0071042)	4	4	.11	+	35.60	3.54E-05	9.85E-04
tube development (GO:0035295)	559	2	15.70	-	.13	3.55E-05	9.87E-04
CUT metabolic process (GO:0071043)	4	4	.11	+	35.60	3.54E-05	9.87E-04
polyadenylation-dependent mRNA catabolic process (GO:0071047)	4	4	.11	+	35.60	3.54E-05	9.89E-04
mRNA cis splicing, via spliceosome (GO:0045292)	18	6	.51	+	11.87	3.58E-05	9.92E-04
nuclear-transcribed mRNA catabolic process, exonucleolytic, 3'-5' (GO:0034427)	10	5	.28	+	17.80	3.58E-05	9.92E-04
DNA replication-independent nucleosome assembly (GO:0006336)	39	8	1.10	+	7.30	3.64E-05	1.00E-03
positive regulation of RNA metabolic process (GO:0051254)	1504	71	42.24	+	1.68	3.65E-05	1.01E-03
positive regulation of biosynthetic process (GO:0009891)	1848	83	51.90	+	1.60	3.72E-05	1.02E-03
endocytosis (GO:0006897)	570	2	16.01	-	.12	3.73E-05	1.03E-03
histone H4 acetylation (GO:0043967)	52	9	1.46	+	6.16	3.90E-05	1.07E-03
ciliary basal body-plasma membrane docking (GO:0097711)	96	12	2.70	+	4.45	3.97E-05	1.09E-03
negative regulation of nitrogen compound metabolic process (GO:0051172)	2344	100	65.84	+	1.52	4.01E-05	1.09E-03
positive regulation of catalytic activity (GO:0043085)	1655	76	46.48	+	1.63	4.06E-05	1.11E-03
retrograde vesicle-mediated transport, Golgi to ER (GO:0006890)	81	11	2.28	+	4.84	4.18E-05	1.14E-03
DNA replication-independent nucleosome organization (GO:0034724)	40	8	1.12	+	7.12	4.26E-05	1.16E-03
regulation of protein targeting to mitochondrion (GO:1903214)	97	12	2.72	+	4.40	4.35E-05	1.18E-03
response to abiotic stimulus (GO:0009628)	1115	56	31.32	+	1.79	4.39E-05	1.19E-03
CENP-A containing chromatin organization (GO:0061641)	29	7	.81	+	8.59	4.59E-05	1.24E-03
CENP-A containing nucleosome assembly (GO:0034080)	29	7	.81	+	8.59	4.59E-05	1.24E-03
negative regulation of transport (GO:0051051)	479	1	13.45	-	.07	4.68E-05	1.26E-03
double-strand break repair via homologous recombination (GO:0000724)	84	11	2.36	+	4.66	5.65E-05	1.52E-03
protein complex assembly (GO:0006461)	1098	55	30.84	+	1.78	5.69E-05	1.53E-03
protein complex biogenesis (GO:0070271)	1099	55	30.87	+	1.78	5.76E-05	1.54E-03
regulation of chromosome separation (GO:1905818)	55	9	1.54	+	5.83	5.76E-05	1.54E-03
meiotic chromosome condensation (GO:0010032)	5	4	.14	+	28.48	6.23E-05	1.66E-03
recombinational repair (GO:0000725)	85	11	2.39	+	4.61	6.22E-05	1.66E-03
multicellular organism development (GO:0007275)	4786	94	134.42	-	.70	6.25E-05	1.66E-03
transcription initiation from RNA polymerase II promoter (GO:0006367)	154	15	4.33	+	3.47	6.50E-05	1.73E-03
rRNA transcription (GO:0009303)	21	6	.59	+	10.17	7.35E-05	1.95E-03
chromatin organization (GO:0006325)	665	38	18.68	+	2.03	7.78E-05	2.06E-03
chromatin remodeling at centromere (GO:0031055)	32	7	.90	+	7.79	7.88E-05	2.08E-03
regulation of proteolysis (GO:0030162)	794	43	22.30	+	1.93	7.94E-05	2.09E-03
regulation of cell cycle checkpoint (GO:1901976)	33	7	.93	+	7.55	9.33E-05	2.46E-03
regulation of metal ion transport (GO:0010959)	355	0	9.97	-	 < 0.01	9.73E-05	2.56E-03
viral life cycle (GO:0019058)	199	17	5.59	+	3.04	9.82E-05	2.58E-03
nuclear retention of pre-mRNA at the site of transcription (GO:0071033)	6	4	.17	+	23.74	1.02E-04	2.66E-03
negative regulation of cell cycle checkpoint (GO:1901977)	6	4	.17	+	23.74	1.02E-04	2.66E-03
tissue morphogenesis (GO:0048729)	521	2	14.63	-	.14	1.06E-04	2.77E-03
DNA duplex unwinding (GO:0032508)	75	10	2.11	+	4.75	1.07E-04	2.78E-03
positive regulation of molecular function (GO:0044093)	1971	85	55.36	+	1.54	1.13E-04	2.94E-03
negative regulation of cellular metabolic process (GO:0031324)	2511	103	70.53	+	1.46	1.17E-04	3.03E-03
endomembrane system organization (GO:0010256)	373	25	10.48	+	2.39	1.24E-04	3.22E-03
meiotic cell cycle process (GO:1903046)	164	15	4.61	+	3.26	1.25E-04	3.23E-03
ribosomal subunit export from nucleus (GO:0000054)	14	5	.39	+	12.72	1.27E-04	3.27E-03
ribosome localization (GO:0033750)	14	5	.39	+	12.72	1.27E-04	3.27E-03
MAPK cascade (GO:0000165)	374	25	10.50	+	2.38	1.28E-04	3.30E-03
cell migration (GO:0016477)	828	7	23.26	-	.30	1.32E-04	3.39E-03
positive regulation of chromosome segregation (GO:0051984)	24	6	.67	+	8.90	1.38E-04	3.53E-03
taxis (GO:0042330)	503	2	14.13	-	.14	1.50E-04	3.84E-03
chemotaxis (GO:0006935)	503	2	14.13	-	.14	1.50E-04	3.85E-03
centromere complex assembly (GO:0034508)	36	7	1.01	+	6.92	1.50E-04	3.85E-03
nucleosome organization (GO:0034728)	148	14	4.16	+	3.37	1.50E-04	3.85E-03
cellular component disassembly (GO:0022411)	416	27	11.68	+	2.31	1.54E-04	3.91E-03
positive regulation of cell cycle process (GO:0090068)	270	20	7.58	+	2.64	1.54E-04	3.92E-03
regulation of DNA-directed DNA polymerase activity (GO:1900262)	7	4	.20	+	20.35	1.56E-04	3.95E-03
positive regulation of DNA-directed DNA polymerase activity (GO:1900264)	7	4	.20	+	20.35	1.56E-04	3.96E-03
tubulin complex assembly (GO:0007021)	7	4	.20	+	20.35	1.56E-04	3.97E-03
nuclear pore organization (GO:0006999)	15	5	.42	+	11.87	1.65E-04	4.17E-03
response to external stimulus (GO:0009605)	1891	28	53.11	-	.53	1.68E-04	4.24E-03
proteolysis (GO:0006508)	1280	60	35.95	+	1.67	1.77E-04	4.45E-03
positive regulation of mRNA metabolic process (GO:1903313)	65	9	1.83	+	4.93	1.81E-04	4.56E-03
centrosome cycle (GO:0007098)	81	10	2.28	+	4.40	1.89E-04	4.75E-03
posttranscriptional gene silencing by RNA (GO:0035194)	51	8	1.43	+	5.58	1.92E-04	4.82E-03
regulation of cellular protein localization (GO:1903827)	617	35	17.33	+	2.02	1.95E-04	4.89E-03
chromatin assembly (GO:0031497)	134	13	3.76	+	3.45	2.04E-04	5.09E-03
positive regulation of establishment of protein localization to mitochondrion (GO:1903749)	116	12	3.26	+	3.68	2.06E-04	5.14E-03
DNA replication checkpoint (GO:0000076)	16	5	.45	+	11.13	2.12E-04	5.27E-03
rRNA-containing ribonucleoprotein complex export from nucleus (GO:0071428)	16	5	.45	+	11.13	2.12E-04	5.27E-03
posttranscriptional gene silencing (GO:0016441)	52	8	1.46	+	5.48	2.17E-04	5.38E-03
nervous system development (GO:0007399)	2228	36	62.58	-	.58	2.21E-04	5.48E-03
nuclear-transcribed mRNA catabolic process, deadenylation-dependent decay (GO:0000288)	67	9	1.88	+	4.78	2.23E-04	5.51E-03
RNA methylation (GO:0001510)	67	9	1.88	+	4.78	2.23E-04	5.52E-03
protein localization to membrane (GO:0072657)	405	26	11.38	+	2.29	2.31E-04	5.69E-03
toxin transport (GO:1901998)	39	7	1.10	+	6.39	2.33E-04	5.72E-03
intra-Golgi vesicle-mediated transport (GO:0006891)	39	7	1.10	+	6.39	2.33E-04	5.73E-03
nucleosome assembly (GO:0006334)	118	12	3.31	+	3.62	2.38E-04	5.85E-03
regulation of DNA replication (GO:0006275)	119	12	3.34	+	3.59	2.56E-04	6.27E-03
mitotic spindle assembly (GO:0090307)	40	7	1.12	+	6.23	2.67E-04	6.53E-03
protein localization to chromosome, centromeric region (GO:0071459)	17	5	.48	+	10.47	2.68E-04	6.55E-03
DNA geometric change (GO:0032392)	85	10	2.39	+	4.19	2.70E-04	6.59E-03
replication fork processing (GO:0031297)	28	6	.79	+	7.63	2.84E-04	6.92E-03
osteoblast differentiation (GO:0001649)	121	12	3.40	+	3.53	2.95E-04	7.16E-03
lipid metabolic process (GO:0006629)	1227	15	34.46	-	.44	3.00E-04	7.28E-03
pattern specification process (GO:0007389)	407	1	11.43	-	.09	3.01E-04	7.31E-03
regulation of response to stress (GO:0080134)	1388	63	38.98	+	1.62	3.05E-04	7.38E-03
regulation of response to external stimulus (GO:0032101)	734	6	20.62	-	.29	3.18E-04	7.68E-03
endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA) (GO:0000447)	9	4	.25	+	15.82	3.24E-04	7.79E-03
pre-mRNA cleavage required for polyadenylation (GO:0098789)	9	4	.25	+	15.82	3.24E-04	7.80E-03
DNA topological change (GO:0006265)	9	4	.25	+	15.82	3.24E-04	7.82E-03
pseudouridine synthesis (GO:0001522)	18	5	.51	+	9.89	3.35E-04	8.03E-03
double-strand break repair (GO:0006302)	161	14	4.52	+	3.10	3.35E-04	8.04E-03
cell surface receptor signaling pathway involved in cell-cell signaling (GO:1905114)	427	26	11.99	+	2.17	3.76E-04	9.01E-03
protein localization to chromosome (GO:0034502)	57	8	1.60	+	5.00	3.80E-04	9.07E-03
U1 snRNA 3'-end processing (GO:0034473)	3	3	.08	+	35.60	3.81E-04	9.08E-03
U5 snRNA 3'-end processing (GO:0034476)	3	3	.08	+	35.60	3.81E-04	9.09E-03
posttranscriptional tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000973)	3	3	.08	+	35.60	3.81E-04	9.11E-03
immune response-activating cell surface receptor signaling pathway (GO:0002429)	360	23	10.11	+	2.27	4.08E-04	9.70E-03
attachment of spindle microtubules to kinetochore (GO:0008608)	19	5	.53	+	9.37	4.13E-04	9.78E-03
positive regulation of mRNA splicing, via spliceosome (GO:0048026)	19	5	.53	+	9.37	4.13E-04	9.79E-03
negative regulation of translation (GO:0017148)	145	13	4.07	+	3.19	4.13E-04	9.79E-03
dosage compensation by inactivation of X chromosome (GO:0009048)	10	4	.28	+	14.24	4.44E-04	1.05E-02
mRNA cleavage involved in mRNA processing (GO:0098787)	10	4	.28	+	14.24	4.44E-04	1.05E-02
gene silencing by miRNA (GO:0035195)	44	7	1.24	+	5.66	4.47E-04	1.05E-02
inflammatory response (GO:0006954)	465	2	13.06	-	.15	4.47E-04	1.05E-02
regulation of actin cytoskeleton organization (GO:0032956)	298	0	8.37	-	 < 0.01	4.66E-04	1.09E-02
oxidation-reduction process (GO:0055114)	936	10	26.29	-	.38	4.70E-04	1.10E-02
positive regulation of intracellular signal transduction (GO:1902533)	940	10	26.40	-	.38	4.75E-04	1.11E-02
cell differentiation (GO:0030154)	3522	68	98.92	-	.69	5.00E-04	1.17E-02
protein acetylation (GO:0006473)	129	12	3.62	+	3.31	5.02E-04	1.17E-02
histone exchange (GO:0043486)	45	7	1.26	+	5.54	5.05E-04	1.18E-02
negative regulation of mRNA processing (GO:0050686)	32	6	.90	+	6.68	5.32E-04	1.23E-02
DNA-dependent DNA replication maintenance of fidelity (GO:0045005)	32	6	.90	+	6.68	5.32E-04	1.24E-02
regulation of establishment of protein localization to mitochondrion (GO:1903747)	130	12	3.65	+	3.29	5.36E-04	1.24E-02
signal transduction by protein phosphorylation (GO:0023014)	414	25	11.63	+	2.15	5.45E-04	1.26E-02
positive regulation of mitochondrion organization (GO:0010822)	170	14	4.77	+	2.93	5.55E-04	1.28E-02
negative regulation of molecular function (GO:0044092)	1172	54	32.92	+	1.64	5.58E-04	1.29E-02
microtubule-based process (GO:0007017)	581	32	16.32	+	1.96	5.62E-04	1.29E-02
regulation of hormone levels (GO:0010817)	514	3	14.44	-	.21	5.66E-04	1.30E-02
anatomical structure homeostasis (GO:0060249)	292	20	8.20	+	2.44	5.66E-04	1.30E-02
gene silencing by RNA (GO:0031047)	77	9	2.16	+	4.16	5.65E-04	1.30E-02
protein folding (GO:0006457)	234	17	6.57	+	2.59	5.76E-04	1.32E-02
meiosis II (GO:0007135)	11	4	.31	+	12.95	5.92E-04	1.35E-02
regulation of protein targeting (GO:1903533)	132	12	3.71	+	3.24	6.07E-04	1.39E-02
regulation of mRNA 3'-end processing (GO:0031440)	21	5	.59	+	8.48	6.11E-04	1.39E-02
regulation of sister chromatid cohesion (GO:0007063)	21	5	.59	+	8.48	6.11E-04	1.40E-02
exonucleolytic nuclear-transcribed mRNA catabolic process involved in deadenylation-dependent decay (GO:0043928)	33	6	.93	+	6.47	6.14E-04	1.40E-02
neuron development (GO:0048666)	763	7	21.43	-	.33	6.31E-04	1.43E-02
regulation of DNA-dependent DNA replication (GO:0090329)	47	7	1.32	+	5.30	6.38E-04	1.45E-02
scaRNA localization to Cajal body (GO:0090666)	4	3	.11	+	26.70	6.54E-04	1.48E-02
RNA localization to Cajal body (GO:0090670)	4	3	.11	+	26.70	6.54E-04	1.48E-02
RNA localization to nucleus (GO:0090685)	4	3	.11	+	26.70	6.54E-04	1.48E-02
regulation of viral process (GO:0050792)	194	15	5.45	+	2.75	6.59E-04	1.49E-02
mitotic cell cycle checkpoint (GO:0007093)	153	13	4.30	+	3.03	6.60E-04	1.49E-02
organic acid transport (GO:0015849)	280	0	7.86	-	 < 0.01	6.80E-04	1.53E-02
regulation of cellular localization (GO:0060341)	904	44	25.39	+	1.73	6.86E-04	1.54E-02
negative regulation of chromosome organization (GO:2001251)	115	11	3.23	+	3.41	6.88E-04	1.54E-02
regulation of cation transmembrane transport (GO:1904062)	285	0	8.00	-	 < 0.01	6.95E-04	1.55E-02
regulation of cytosolic calcium ion concentration (GO:0051480)	285	0	8.00	-	 < 0.01	6.95E-04	1.56E-02
chromatin assembly or disassembly (GO:0006333)	154	13	4.33	+	3.01	6.99E-04	1.56E-02
chromatin remodeling (GO:0006338)	154	13	4.33	+	3.01	6.99E-04	1.56E-02
epithelium development (GO:0060429)	1068	13	30.00	-	.43	7.38E-04	1.64E-02
dosage compensation (GO:0007549)	12	4	.34	+	11.87	7.72E-04	1.71E-02
intracellular mRNA localization (GO:0008298)	12	4	.34	+	11.87	7.72E-04	1.71E-02
tRNA 5'-leader removal (GO:0001682)	12	4	.34	+	11.87	7.72E-04	1.72E-02
organelle localization by membrane tethering (GO:0140056)	156	13	4.38	+	2.97	7.81E-04	1.73E-02
nuclear-transcribed mRNA catabolic process, exonucleolytic (GO:0000291)	35	6	.98	+	6.10	8.08E-04	1.79E-02
regulation of transcription from RNA polymerase II promoter (GO:0006357)	1985	81	55.75	+	1.45	8.32E-04	1.84E-02
Golgi vesicle transport (GO:0048193)	333	21	9.35	+	2.25	8.47E-04	1.87E-02
spindle checkpoint (GO:0031577)	23	5	.65	+	7.74	8.73E-04	1.92E-02
stem cell population maintenance (GO:0019827)	138	12	3.88	+	3.10	8.72E-04	1.92E-02
positive regulation of phosphate metabolic process (GO:0045937)	1102	14	30.95	-	.45	9.03E-04	1.98E-02
positive regulation of phosphorus metabolic process (GO:0010562)	1102	14	30.95	-	.45	9.03E-04	1.98E-02
blastocyst development (GO:0001824)	66	8	1.85	+	4.32	9.15E-04	2.00E-02
negative regulation of cellular amide metabolic process (GO:0034249)	159	13	4.47	+	2.91	9.19E-04	2.01E-02
positive regulation of telomerase activity (GO:0051973)	36	6	1.01	+	5.93	9.21E-04	2.01E-02
adaptive immune response (GO:0002250)	366	1	10.28	-	.10	9.30E-04	2.03E-02
embryonic morphogenesis (GO:0048598)	562	4	15.78	-	.25	9.35E-04	2.04E-02
maintenance of cell number (GO:0098727)	140	12	3.93	+	3.05	9.79E-04	2.13E-02
histone H4-K16 acetylation (GO:0043984)	13	4	.37	+	10.96	9.88E-04	2.14E-02
ATP-dependent chromatin remodeling (GO:0043044)	67	8	1.88	+	4.25	1.00E-03	2.17E-02
keratinocyte differentiation (GO:0030216)	268	0	7.53	-	 < 0.01	1.01E-03	2.19E-02
negative regulation of DNA damage checkpoint (GO:2000002)	5	3	.14	+	21.36	1.03E-03	2.21E-02
mRNA 3'-end processing by stem-loop binding and cleavage (GO:0006398)	5	3	.14	+	21.36	1.03E-03	2.22E-02
mitochondrial calcium ion transmembrane transport (GO:0006851)	24	5	.67	+	7.42	1.03E-03	2.22E-02
carboxylic acid transport (GO:0046942)	272	0	7.64	-	 < 0.01	1.04E-03	2.23E-02
negative regulation of mitotic nuclear division (GO:0045839)	37	6	1.04	+	5.77	1.05E-03	2.24E-02
'de novo' protein folding (GO:0006458)	37	6	1.04	+	5.77	1.05E-03	2.25E-02
neuron differentiation (GO:0030182)	948	11	26.63	-	.41	1.07E-03	2.30E-02
regulation of autophagy of mitochondrion (GO:1903146)	52	7	1.46	+	4.79	1.09E-03	2.34E-02
organonitrogen compound catabolic process (GO:1901565)	984	46	27.64	+	1.66	1.13E-03	2.41E-02
positive regulation of cellular component organization (GO:0051130)	1182	53	33.20	+	1.60	1.14E-03	2.43E-02
response to stress (GO:0006950)	3330	124	93.53	+	1.33	1.14E-03	2.43E-02
regulation of body fluid levels (GO:0050878)	498	3	13.99	-	.21	1.17E-03	2.49E-02
animal organ development (GO:0048513)	2990	57	83.98	-	.68	1.18E-03	2.51E-02
chromosome organization involved in meiotic cell cycle (GO:0070192)	69	8	1.94	+	4.13	1.19E-03	2.52E-02
positive regulation of developmental process (GO:0051094)	1231	17	34.57	-	.49	1.21E-03	2.57E-02
DNA damage checkpoint (GO:0000077)	144	12	4.04	+	2.97	1.23E-03	2.60E-02
snoRNA metabolic process (GO:0016074)	14	4	.39	+	10.17	1.24E-03	2.62E-02
proteasome assembly (GO:0043248)	14	4	.39	+	10.17	1.24E-03	2.62E-02
poly(A)+ mRNA export from nucleus (GO:0016973)	14	4	.39	+	10.17	1.24E-03	2.63E-02
membrane docking (GO:0022406)	165	13	4.63	+	2.81	1.26E-03	2.64E-02
morphogenesis of an epithelium (GO:0002009)	415	2	11.66	-	.17	1.26E-03	2.64E-02
synaptic signaling (GO:0099536)	413	2	11.60	-	.17	1.26E-03	2.64E-02
trans-synaptic signaling (GO:0099537)	413	2	11.60	-	.17	1.26E-03	2.65E-02
regulation of actin filament-based process (GO:0032970)	340	1	9.55	-	.10	1.28E-03	2.68E-02
organic hydroxy compound metabolic process (GO:1901615)	421	2	11.82	-	.17	1.28E-03	2.68E-02
regulation of carbohydrate metabolic process (GO:0006109)	187	14	5.25	+	2.67	1.31E-03	2.74E-02
divalent inorganic cation homeostasis (GO:0072507)	425	2	11.94	-	.17	1.31E-03	2.74E-02
regulation of catalytic activity (GO:0050790)	2505	97	70.36	+	1.38	1.32E-03	2.76E-02
cellular lipid metabolic process (GO:0044255)	984	12	27.64	-	.43	1.33E-03	2.77E-02
response to organic substance (GO:0010033)	2780	106	78.08	+	1.36	1.38E-03	2.87E-02
generation of neurons (GO:0048699)	1417	21	39.80	-	.53	1.38E-03	2.87E-02
tRNA modification (GO:0006400)	71	8	1.99	+	4.01	1.41E-03	2.91E-02
rRNA methylation (GO:0031167)	26	5	.73	+	6.85	1.41E-03	2.92E-02
regulation of spindle assembly (GO:0090169)	26	5	.73	+	6.85	1.41E-03	2.92E-02
meiotic chromosome segregation (GO:0045132)	89	9	2.50	+	3.60	1.45E-03	2.99E-02
protein targeting to mitochondrion (GO:0006626)	55	7	1.54	+	4.53	1.47E-03	3.02E-02
cellular developmental process (GO:0048869)	3596	72	101.00	-	.71	1.50E-03	3.08E-02
snRNA modification (GO:0040031)	6	3	.17	+	17.80	1.51E-03	3.10E-02
histone H4-K5 acetylation (GO:0043981)	15	4	.42	+	9.49	1.54E-03	3.15E-02
histone H4-K8 acetylation (GO:0043982)	15	4	.42	+	9.49	1.54E-03	3.15E-02
N-terminal protein amino acid acetylation (GO:0006474)	15	4	.42	+	9.49	1.54E-03	3.16E-02
granulocyte activation (GO:0036230)	495	27	13.90	+	1.94	1.55E-03	3.16E-02
mitotic chromosome condensation (GO:0007076)	15	4	.42	+	9.49	1.54E-03	3.16E-02
humoral immune response (GO:0006959)	259	0	7.27	-	 < 0.01	1.55E-03	3.16E-02
production of miRNAs involved in gene silencing by miRNA (GO:0035196)	27	5	.76	+	6.59	1.64E-03	3.32E-02
negative regulation of mitotic sister chromatid segregation (GO:0033048)	27	5	.76	+	6.59	1.64E-03	3.32E-02
regulation of transcription from RNA polymerase III promoter (GO:0006359)	27	5	.76	+	6.59	1.64E-03	3.33E-02
negative regulation of RNA splicing (GO:0033119)	27	5	.76	+	6.59	1.64E-03	3.33E-02
chromosome localization (GO:0050000)	73	8	2.05	+	3.90	1.65E-03	3.35E-02
mitotic metaphase plate congression (GO:0007080)	41	6	1.15	+	5.21	1.68E-03	3.40E-02
calcium ion homeostasis (GO:0055074)	399	2	11.21	-	.18	1.78E-03	3.60E-02
cellular divalent inorganic cation homeostasis (GO:0072503)	405	2	11.38	-	.18	1.80E-03	3.64E-02
anterograde trans-synaptic signaling (GO:0098916)	406	2	11.40	-	.18	1.81E-03	3.64E-02
chemical synaptic transmission (GO:0007268)	406	2	11.40	-	.18	1.81E-03	3.65E-02
pore complex assembly (GO:0046931)	16	4	.45	+	8.90	1.89E-03	3.77E-02
regulation of DNA damage checkpoint (GO:2000001)	16	4	.45	+	8.90	1.89E-03	3.78E-02
histone H2A acetylation (GO:0043968)	16	4	.45	+	8.90	1.89E-03	3.78E-02
mRNA splice site selection (GO:0006376)	28	5	.79	+	6.36	1.88E-03	3.79E-02
regulation of cellular component movement (GO:0051270)	852	10	23.93	-	.42	1.90E-03	3.79E-02
immune response-regulating cell surface receptor signaling pathway (GO:0002768)	392	23	11.01	+	2.09	1.91E-03	3.80E-02
regulation of cell projection organization (GO:0031344)	585	5	16.43	-	.30	1.92E-03	3.82E-02
tube morphogenesis (GO:0035239)	336	1	9.44	-	.11	1.92E-03	3.82E-02
protein alkylation (GO:0008213)	132	11	3.71	+	2.97	1.93E-03	3.84E-02
protein methylation (GO:0006479)	132	11	3.71	+	2.97	1.93E-03	3.84E-02
meiotic nuclear division (GO:0140013)	153	12	4.30	+	2.79	1.98E-03	3.92E-02
circulatory system development (GO:0072359)	807	9	22.67	-	.40	1.99E-03	3.93E-02
internal protein amino acid acetylation (GO:0006475)	113	10	3.17	+	3.15	2.03E-03	4.03E-02
regulation of intracellular transport (GO:0032386)	527	28	14.80	+	1.89	2.08E-03	4.10E-02
regulation of cellular response to stress (GO:0080135)	624	32	17.53	+	1.83	2.08E-03	4.10E-02
mitotic DNA replication (GO:1902969)	7	3	.20	+	15.26	2.11E-03	4.13E-02
ribosomal small subunit export from nucleus (GO:0000056)	7	3	.20	+	15.26	2.11E-03	4.14E-02
tRNA transcription (GO:0009304)	7	3	.20	+	15.26	2.11E-03	4.14E-02
box C/D snoRNP assembly (GO:0000492)	7	3	.20	+	15.26	2.11E-03	4.15E-02
negative regulation of translational initiation in response to stress (GO:0032057)	7	3	.20	+	15.26	2.11E-03	4.15E-02
centromeric sister chromatid cohesion (GO:0070601)	7	3	.20	+	15.26	2.11E-03	4.16E-02
positive regulation of multi-organism process (GO:0043902)	176	13	4.94	+	2.63	2.15E-03	4.20E-02
regulation of response to DNA damage stimulus (GO:2001020)	176	13	4.94	+	2.63	2.15E-03	4.21E-02
negative regulation of sister chromatid segregation (GO:0033046)	29	5	.81	+	6.14	2.16E-03	4.21E-02
female meiotic nuclear division (GO:0007143)	29	5	.81	+	6.14	2.16E-03	4.22E-02
plasma membrane bounded cell projection morphogenesis (GO:0120039)	458	3	12.86	-	.23	2.17E-03	4.22E-02
neutrophil degranulation (GO:0043312)	482	26	13.54	+	1.92	2.18E-03	4.24E-02
cell projection morphogenesis (GO:0048858)	462	3	12.98	-	.23	2.19E-03	4.25E-02
regulation of transporter activity (GO:0032409)	237	0	6.66	-	 < 0.01	2.21E-03	4.29E-02
regulation of actin filament organization (GO:0110053)	240	0	6.74	-	 < 0.01	2.23E-03	4.31E-02
wound healing (GO:0042060)	467	3	13.12	-	.23	2.25E-03	4.35E-02
positive regulation of protein metabolic process (GO:0051247)	1603	66	45.02	+	1.47	2.25E-03	4.35E-02
neutrophil activation involved in immune response (GO:0002283)	484	26	13.59	+	1.91	2.26E-03	4.36E-02
establishment of organelle localization (GO:0051656)	405	23	11.38	+	2.02	2.27E-03	4.37E-02
protein import into mitochondrial matrix (GO:0030150)	17	4	.48	+	8.38	2.28E-03	4.39E-02
positive regulation of intracellular protein transport (GO:0090316)	263	17	7.39	+	2.30	2.31E-03	4.44E-02
positive regulation of cytosolic calcium ion concentration (GO:0007204)	248	0	6.97	-	 < 0.01	2.38E-03	4.56E-02
regulation of cellular response to growth factor stimulus (GO:0090287)	249	0	6.99	-	 < 0.01	2.41E-03	4.61E-02
dsRNA fragmentation (GO:0031050)	30	5	.84	+	5.93	2.47E-03	4.71E-02
production of small RNA involved in gene silencing by RNA (GO:0070918)	30	5	.84	+	5.93	2.47E-03	4.72E-02
negative regulation of chromosome segregation (GO:0051985)	30	5	.84	+	5.93	2.47E-03	4.72E-02
cellular calcium ion homeostasis (GO:0006874)	387	2	10.87	-	.18	2.52E-03	4.82E-02
